Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
dctob036,tobacco,Tobacco,,autoAdvance,,radio,"Was there ever a time when you often wanted to (smoke/use tobacco) so badly that you couldn't stop yourself from (having a cigarette, cigar, or pipe / using)","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob036,,,
dctob037,tobacco,Tobacco,,autoAdvance,,radio,Did you find it difficult to think of anything else?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob036] = '1',,,,dctob036,,,
dctob038,tobacco,Tobacco,,autoAdvance,,radio,Over time did you become so used to tobacco that you were able to smoke without getting sick to your stomach or without feeling grouchy or restless?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob036,,,
dctob039,tobacco,Tobacco,,autoAdvance,,radio,"Did you ever have times when you purposely stopped, cut down, or went without (smoking /tobacco)?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob036,,,
dctob040,tobacco,Tobacco,,,,text,"How old were you the first time? \r\n\r\n _(N weeks, N months, N years)_",,AGE,autocomplete,,,,[dctob039] = '1',,,,,,,
dctob041,tobacco,Tobacco,,,,text,How many times did you try to cut down or quit?,,TIMES,number,,,,[dctob039] = '1',,,,,,,
dctob042,tobacco,Tobacco,,,,text,How many times did you try to cut down or quit and found that you could not?,,TIMES,number,,,,[dctob039] = '1',,,,,,,
dctob043,tobacco,Tobacco,,autoAdvance,,radio,"People who cut down or stop smoking after smoking regularly for some time may not feel well. During these times, did you ever feel really tired, or have headaches, problems going to the bathroom, upset stomach, weakness or trouble sleeping?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob043,,,
dctob044,tobacco,Tobacco,,autoAdvance,,radio,"During these times, did you ever have emotional problems like feeling irritable, nervous, restless, depressed or have trouble concentrating?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob043,,,
dctob045,tobacco,Tobacco,,autoAdvance,,radio,Did you ever have times when you (smoked/used tobacco) to keep from having problems like these?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob044] = '1',,,,dctob043,,,
dctob046,tobacco,Tobacco,,autoAdvance,,radio,Did you have times when you (smoked/used tobacco) even though you promised yourself that you wouldn't?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob043,,,
dctob047,tobacco,Tobacco,,autoAdvance,,radio,Were there ever times when you (smoked/used tobacco) more often or for more days in a row than you planned?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob043,,,
dctob048,tobacco,Tobacco,,autoAdvance,,radio,Were there times when you tried to stop or cut down on your (smoking/tobacco use) and found that you were not able to?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob043,,,
dctob049,tobacco,Tobacco,,autoAdvance,,radio,"Did you ever have times when you chain-smoked, that is, started another cigarette as soon as you finished one?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob050,,,
dctob050,tobacco,Tobacco,,autoAdvance,,radio,Did you ever have a time when you gave up or cut down on important activities - like sports or hanging out with friends and family - so you could (smoke/use tobacco)?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob050,,,
dctob051,tobacco,Tobacco,,autoAdvance,,radio,"Did tobacco ever cause you any physical problems like coughing, difficulty breathing, lung trouble, or problems with your heart or blood pressure?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob050,,,
dctob052,tobacco,Tobacco,,autoAdvance,,radio,Did you continue to (smoked/use tobacco) even though you had these problems?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob051] = '1',,,,dctob050,,,
dctob053,tobacco,Tobacco,,autoAdvance,,radio,"Did tobacco ever cause you any emotional problems like irritability, nervousness, restlessness, difficulty concentrating, or feeling sad?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob050,,,
dctob054,tobacco,Tobacco,,autoAdvance,,radio,Did you continue to (smoked/use tobacco) even though you had these emotional problems?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob053] = '1',,,,dctob050,,,
dctob055,tobacco,Tobacco,Course: Onset,,,text,"### Course: Onset\r\n\r\nYou reported that (list some dependence symptoms from above).  How old were you the very first time you had these problems? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dctob036] = '1' or [dctob038] = '1' or [dctob039] = '1'  or [dctob043] = '1' or [dctob044] = '1'  or [dctob046] = '1' or [dctob047] = '1' or [dctob048] = '1'  or [dctob049] = '1' or [dctob050] = '1'  or [dctob051] = '1'  or [dctob053] = '1',,,,,,,
ctob10,tobacco,Tobacco,Course: Offset,,,text,"### Course: Offset\r\n\r\nHow old were you the last time you had these problems? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,,,,,,[dctob036] = '1' or [dctob038] = '1' or [dctob039] = '1'  or [dctob043] = '1' or [dctob044] = '1'  or [dctob046] = '1' or [dctob047] = '1' or [dctob048] = '1'  or [dctob049] = '1' or [dctob050] = '1'  or [dctob051] = '1'  or [dctob053] = '1',,,,,,,
dctob057,tobacco,Tobacco,,,,text,"What month and year? \r\n\r\n  _(Record  the month and year in this format, 01/2000)_",,MONTH,autocomplete,,,,[dctob036] = '1' or [dctob038] = '1' or [dctob039] = '1'  or [dctob043] = '1' or [dctob044] = '1'  or [dctob046] = '1' or [dctob047] = '1' or [dctob048] = '1'  or [dctob049] = '1' or [dctob050] = '1'  or [dctob051] = '1'  or [dctob053] = '1',,RH,,,,,
dctob059,tobacco,Tobacco,Course,autoAdvance,,radio,### Course\r\n\r\nDid you ever have three (or more) (list symptoms) problems all in the same year?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob036] = '1' or [dctob038] = '1' or [dctob039] = '1'  or [dctob043] = '1' or [dctob044] = '1'  or [dctob046] = '1' or [dctob047] = '1' or [dctob048] = '1'  or [dctob049] = '1' or [dctob050] = '1'  or [dctob051] = '1'  or [dctob053] = '1',,RH,,,,,
dctob060,tobacco,Tobacco,,,,text,"How old were you the first time you had three (or more) of these problems in the same year?  \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dctob059] = '1',,,,,,,
dctob061,tobacco,Tobacco,Course: Quitting,,,text,### Course: Quitting\r\n\r\nHow many different times did you ever try really hard to quit smoking?,,TIMES,number,,,,[ctob3] != 1,,,,,,,
dctob062,tobacco,Tobacco,,,,text,How many of these times have you gone without smoking for 3 months or longer?,,TIMES,number,,,,[ctob3] != 1,,,,,,,
ctob13,tobacco,Tobacco,,,,markdown-message,"What was the longest period of time you have ever gone without smoking? \r\n\r\n _(N days, N weeks, N months)_",,,,,,,[ctob3] != 1,,,,,,,
ctob15,tobacco,Tobacco,Distress/Impairment,,,markdown-message,"### Distress/Impairment\r\n\r\nPlease look at Participant Card 8: Distress/Impairment. \r\n\r\n _INTERVIEWER: Remind child how to use scale, if necessary._",,,,,,,[ctob3] != 1,,,,,,,
dctob066,tobacco,Tobacco,,autoAdvance,,radio,How much did smoking upset or bother you?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 998, Unknown",CODE RESPONSE,autocomplete,0,10,,[ctob3] != 1,,,,,,,
dctob067,tobacco,Tobacco,Help-Seeking Treatment (Lifetime),autoAdvance,,radio,### Help-Seeking Treatment (Lifetime)\r\n\r\nDid you or your parents ever try to find help from a doctor or other professional for (list symptoms)?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob067,,,
dctob068,tobacco,Tobacco,,autoAdvance,,radio,"Did anyone, like a teacher or family member, suggest that you get help for (smoking/tobacco use)?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob067,,,
dctob069,tobacco,Tobacco,,autoAdvance,,radio,"Did you ever go to see a doctor, nurse, social worker, psychologist, school counselor, minister/priest or other professional to get help for (smoking/tobacco use)?","0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,,,dctob067,,,
ctob18,tobacco,Tobacco,,,,markdown-message,"What kind of person/people did you get help from? \r\n\r\n _INTERVIEWER: Refer to Participant Card 13 (Professional/Treatment), record and code responses on the following screens._",,,,,,,[dctob069] = '1',,,,,,,
dctob070,tobacco,Tobacco,,dontKnow,,text,Specify (Professional/Treatment 1):,,PROFESSIONAL/TREATMENT,,,,,[dctob069] = '1',,,,,,,
dctob071,tobacco,Tobacco,,dontKnow,,text,Code (Professional/Treatment 1):,,CODE RESPONSE,number,,,,[dctob069] = '1',,,,,,,
dctob072,tobacco,Tobacco,,dontKnow,,text,Specify (Professional/Treatment 2):,,PROFESSIONAL/TREATMENT,,,,,[dctob069] = '1',,,,,,,
dctob073,tobacco,Tobacco,,dontKnow,,text,Code (Professional/Treatment 2):,,CODE RESPONSE,number,,,,[dctob069] = '1',,,,,,,
dctob074,tobacco,Tobacco,,dontKnow,,text,Specify (Professional/Treatment 3):,,PROFESSIONAL/TREATMENT,,,,,[dctob069] = '1',,,,,,,
dctob075,tobacco,Tobacco,,dontKnow,,text,Code (Professional/Treatment 3):,,CODE RESPONSE,number,,,,[dctob069] = '1',,,,,,,
dctob077,tobacco,Tobacco,,dontKnow,,text,"_INTERVIEWER: If you listed multiple people, ask this question. If not, **Skip**:_ \r\n\r\n Who did you get help from the first time? \r\n\r\n Specify (Professional/Treatment):",,PROFESSIONAL/TREATMENT,,,,,[dctob069] = '1',,,,,,,
dctob078,tobacco,Tobacco,,dontKnow,,text,Code (Professional/Treatment):,,CODE RESPONSE,number,,,,[dctob069] = '1',,,,,,,
dctob079,tobacco,Tobacco,,,,text,"How old were you the first time you got help? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dctob069] = '1',,,,,,,
dctob080,tobacco,Tobacco,,autoAdvance,,radio,Are you getting help now?,"0, No | 1, Yes | 9, Unknown",,,,,,[dctob069] = '1',,RH,,,,,
dctob081,tobacco,Tobacco,,,,text,"If no, how old were you the last time you got help? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dctob080] = '0',,,,,,,
ctob20,tobacco,Tobacco,,,1,checkbox,What kind of treatment(s) have you gotten? _(Check all that apply)_,"1, Behavioral Therapy | 2, Group Therapy | 3, Other",,,,,,[dctob069] = '1',,,,,,,
dctob085,tobacco,Tobacco,,,,notes,Specify (Other treatment):,,,,,,,[ctob20].includes(3),,LH,,,,,
dctob086,tobacco,Tobacco,,autoAdvance,,radio,"Were you on medications? \r\n\r\n _INTERVIEWER: Refer to Participant Card 9 (Medications), record and code responses in the following screens._","0, No | 1, Yes | 9, Unknown",,,,,,[dctob069] = '1',,RH,,,,,
dctob087,tobacco,Tobacco,,dontKnow,,text,Specify (Medication 1):,,MEDICATION,,,,,[dctob086] = '1',,,,,,,
dctob088,tobacco,Tobacco,,dontKnow,,text,Code (Medication 1):,,CODE RESPONSE,number,,,,[dctob086] = '1',,,,,,,
dctob089,tobacco,Tobacco,,dontKnow,,text,Specify (Medication 2):,,MEDICATION,,,,,[dctob086] = '1',,,,,,,
dctob090,tobacco,Tobacco,,dontKnow,,text,Code (Medication 2):,,CODE RESPONSE,number,,,,[dctob086] = '1',,,,,,,
dctob091,tobacco,Tobacco,,dontKnow,,text,Specify (Medication 3):,,MEDICATION,,,,,[dctob086] = '1',,,,,,,
dctob092,tobacco,Tobacco,,dontKnow,,text,Code (Medication 3):,,CODE RESPONSE,number,,,,[dctob086] = '1',,,,,,,
dctob093,tobacco,Tobacco,,dontKnow,,text,Specify (Medication 4):,,MEDICATION,,,,,[dctob086] = '1',,,,,,,
dctob094,tobacco,Tobacco,,dontKnow,,text,Code (Medication 4):,,CODE RESPONSE,number,,,,[dctob086] = '1',,,,,,,
ctob_end,tobacco,Tobacco,,,,markdown-message,_INTERVIEWER: END of **Tobacco** section_,,,,,,,,,,,,,,
